Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Ward Melville A",320,5,4,1,210,23.33,North Babylon A,240,2,8,0,130,13.00,20
"
Greens Farms B",210,2,7,0,110,12.22,North Babylon B,135,1,5,0,70,11.67,20
"
Hightstown",300,5,5,3,190,19.00,Kings Park A,235,1,8,0,140,15.56,20
"
Kings Park D",135,0,5,1,90,18.00,South Side B,80,0,4,0,40,10.00,20
"
Livingston B",255,2,7,3,170,18.89,Great Neck South,215,1,7,2,140,17.50,20
"
Middlesex Middle A",300,3,6,1,200,22.22,Middlesex Middle B,285,3,7,2,180,18.00,20
"
Wilton",245,1,10,0,130,11.82,Kings Park B,230,1,5,3,180,30.00,20
"
South Side A",225,2,7,1,130,14.44,Hopkins,215,0,9,3,140,15.56,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hastings",675,12,5,1,450,26.47,Middlesex Middle B,40,1,1,5,40,20.00,20
"
Eastchester",545,6,9,1,370,24.67,North Babylon A,130,2,3,2,80,16.00,20
"
Darien A",530,13,2,3,330,22.00,Ward Melville A,160,2,3,2,110,22.00,20
"
Livingston B",470,0,13,0,340,26.15,South Side A,115,0,5,1,70,14.00,20
"
Greens Farms A",355,9,5,2,180,12.86,Half Hollow Hills West,80,0,4,0,40,10.00,20
"
Middlesex Middle A",460,8,6,2,290,20.71,Hightstown,195,3,3,4,140,23.33,20
"
Heritage Middle A",365,4,9,1,220,16.92,Great Neck South,100,0,6,0,40,6.67,20
"
Wilton",380,2,11,0,240,18.46,Ward Melville B,140,2,4,0,70,11.67,20
"
North Babylon B",150,0,6,0,90,15.00,South Side B,15,0,3,3,0,0.00,20
"
Livingston A",350,5,5,3,240,24.00,Kellenberg,280,1,8,1,190,21.11,20
"
Darien B",315,1,9,4,230,23.00,Kings Park B,255,3,7,2,150,15.00,20
"
Bronx Science",335,3,7,2,230,23.00,Kings Park A,290,2,7,0,190,21.11,20
"
Heritage Middle B",275,3,7,4,180,18.00,Hopkins,230,0,9,0,140,15.56,20
"
Kings Park D",55,0,4,1,20,5.00,Half Hollow Hills East,15,0,1,1,10,10.00,20
"
Greens Farms B",165,0,9,1,80,8.89,Kings Park C,125,1,6,2,60,8.57,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien A",410,8,3,0,260,23.64,Hastings,295,7,2,2,180,20.00,20
