"
Princeton High",295,6,5,5,180,16.36,Livingston C,240,0,8,2,170,21.25,21
"
Livingston B",240,4,5,2,140,15.56,Hastings B,190,3,4,1,110,15.71,17
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hastings A",505,7,9,2,320,20.00,Livingston B,160,1,5,3,110,18.33,23
"
Wilton",380,4,7,2,260,23.64,Princeton High,250,3,6,3,160,17.78,23
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Belmont",575,8,9,1,370,21.76,Hastings A,145,4,1,5,100,20.00,22
"
Wilton",395,5,8,2,250,19.23,Wissahickon,330,5,6,1,200,18.18,24
"
Livingston A",465,8,5,1,300,23.08,Darien A,410,7,4,1,270,24.55,24
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Belmont",710,9,10,1,480,25.26,Wilton,165,3,2,2,110,22.00,24
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien A",505,9,5,0,320,22.86,Belmont,350,5,5,1,230,23.00,24
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Livingston A",505,7,7,0,330,23.57,Darien A,335,6,3,3,230,25.56,24
