Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Darien C",375,5,8,0,220,16.92,Stuyvesant,150,2,4,2,90,15.00,20
"
Woodland",435,5,8,2,290,22.31,Livingston B,220,2,5,2,150,21.43,20
"
High Tech A",420,6,6,2,280,23.33,Mountain Lakes,220,4,3,2,140,20.00,20
"
Seton Hall Prep A",235,1,8,4,160,17.78,Kings Park D,45,0,2,1,30,15.00,20
"
South Side B",270,0,13,0,140,10.77,North Babylon B,90,0,3,0,60,20.00,20
"
Darien A",405,7,5,2,260,21.67,Kellenberg A,250,1,7,1,170,21.25,20
"
Darien D",300,5,6,5,190,17.27,High Tech C,160,0,5,2,120,24.00,20
"
Kings Park B",275,3,8,0,150,13.64,Kellenberg B,140,1,5,1,80,13.33,20
"
Seton Hall Prep B",215,3,5,4,140,17.50,Kings Park C,90,0,4,0,50,12.50,20
"
Hastings A",260,3,6,5,180,20.00,Middlesex Middle B,190,2,6,0,100,12.50,20
"
Staples",340,6,4,4,230,23.00,Hopkins,280,5,4,1,170,18.89,20
"
Middlesex Middle A",325,5,6,4,210,19.09,Bronx Science,290,3,5,3,210,26.25,20
"
South Side A",165,0,8,1,90,11.25,Great Neck South,140,3,3,5,90,15.00,20
"
Clarke",235,2,7,3,150,16.67,High Tech B,225,3,4,6,170,24.29,20
"
Port Jefferson",205,1,7,6,150,18.75,Hastings B,195,1,5,2,140,23.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Mountain Lakes",420,4,9,0,270,20.77,Kellenberg A,125,0,5,3,90,18.00,20
"
Staples",440,8,4,2,290,24.17,Middlesex Middle A,170,4,2,4,110,18.33,20
"
Livingston A",500,11,1,1,330,27.50,High Tech A,235,5,2,2,150,21.43,20
"
Livingston B",455,5,8,0,300,23.08,Greens Farms A,215,3,4,2,140,20.00,20
"
Darien A",380,8,2,2,250,25.00,Woodland,275,6,3,1,160,17.78,20
"
Bronx Science",330,3,7,1,220,22.00,Hopkins,235,3,5,0,140,17.50,20
