Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Seven Lakes",285,3,7,4,190,19.00,Mountain View,210,1,8,1,120,13.33,21
"
Hoover A",370,2,10,4,260,21.67,Francis Parker (IL),295,3,8,0,170,15.45,23
"
Canyon Crest A",180,0,6,4,140,23.33,Rock Bridge A,120,1,5,3,70,11.67,14
"
Wayzata C",165,0,7,5,120,17.14,Grand Junction B,110,0,7,2,50,7.14,20
"
Carmel A",305,4,6,5,210,21.00,Lindbergh B,255,1,9,2,160,16.00,20
"
Rancho Bernardo",225,2,6,3,150,18.75,Edison Academy,180,2,5,0,100,14.29,20
"
LAMP",165,0,8,3,100,12.50,Morris B,120,0,6,0,60,10.00,19
"
Cookeville",165,0,7,1,100,14.29,Athens,120,1,4,1,70,14.00,16
"
Cave Spring",190,1,8,3,110,12.22,Barrington B,150,2,3,2,100,20.00,17
"
Wissahickon",330,2,9,0,210,19.09,Hastings,290,1,8,1,200,22.22,20
"
Chamblee Charter",210,2,5,2,140,20.00,Freeman,170,0,9,0,80,8.89,18
"
International Academy Okma (Bloomfield Hills, MI)",200,1,7,1,120,15.00,Darien C,160,1,7,1,80,10.00,19
"
Northwest Guilford",140,2,4,4,90,15.00,John Adams,105,0,5,1,60,12.00,25
"
Lee's Summit West",150,0,9,2,70,7.78,Bishop Kelley,115,0,4,1,80,20.00,20
"
Aurora",190,1,8,3,110,12.22,Providence,160,2,4,2,100,16.67,22
"
Darien B",225,2,7,1,130,14.44,Mounds Park,200,1,7,1,120,15.00,18
"
Myers Park",135,0,6,1,80,13.33,Detroit Country Day B,110,1,4,5,80,16.00,20
"
Saratoga Springs (NY)",115,0,5,3,80,16.00,William Fremd C,95,1,5,2,40,6.67,17
"
Detroit Country Day A",305,7,3,4,190,19.00,William Fremd B,290,2,9,0,170,15.45,22
"
St. Thomas",240,2,7,0,140,15.56,Minnetonka,225,2,7,1,130,14.44,19
"
Saint Agnes",260,0,9,2,180,20.00,Centennial C,245,1,8,2,160,17.78,22
"
Morgantown A",285,2,10,3,170,14.17,Paideia,275,1,11,2,160,13.33,25
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Strake Jesuit A",600,3,16,1,400,21.05,Cloverleaf,50,1,1,1,30,15.00,23
"
Detroit Catholic Central A",420,2,13,2,270,18.00,Santa Monica,70,0,3,0,40,13.33,20
"
Caddo Magnet A",460,5,10,3,300,20.00,"International Academy Okma (Bloomfield Hills, MI)",120,1,3,1,80,20.00,20
"
Winston Churchill A",430,1,15,3,280,17.50,St. Paul Academy,95,1,3,4,70,17.50,23
"
Detroit Country Day A",480,9,5,5,320,22.86,Hinsdale Central A,170,2,4,0,100,16.67,22
"
Hunter A",500,8,7,2,320,21.33,Hoover A,195,3,4,4,130,18.57,23
"
Canyon Crest A",400,1,14,1,250,16.67,Mounds Park,105,1,4,0,50,10.00,20
"
Hastings",360,2,12,0,210,15.00,Westside,70,0,4,2,40,10.00,23
"
Carmel A",420,3,12,3,270,18.00,Cave Spring,140,0,5,0,90,18.00,22
"
William Fremd B",340,1,13,1,200,14.29,Gate City,60,0,2,2,50,25.00,20
"
Providence",290,0,14,2,160,11.43,Western Dubuque,10,0,1,2,10,10.00,22
"
Marist",300,0,13,2,180,13.85,Jefferson,20,0,1,0,10,10.00,21
"
Wayzata A",420,5,9,3,270,19.29,Harker,145,0,6,3,100,16.67,22
"
Solon A",375,3,9,2,250,20.83,Cinco Ranch B,100,1,2,1,70,23.33,18
"
Wayzata B",325,0,14,5,210,15.00,Farmington Hills Mercy,50,0,2,0,30,15.00,21
"
Livingston A",400,1,14,3,260,17.33,Leland,135,3,2,2,80,16.00,22
"
Wade Hampton",285,4,8,5,170,14.17,Wayzata C,20,0,3,4,10,3.33,24
"
Richard Montgomery A",410,3,11,1,260,18.57,Seven Lakes,145,2,4,3,90,15.00,22
"
East Chapel Hill",405,4,8,1,270,22.50,Barrington B,160,2,4,2,100,16.67,18
"
Minnetonka",350,2,11,2,220,16.92,Buckingham County,105,0,5,1,60,12.00,22
"
Darien A",380,2,11,2,250,19.23,Trinity,135,0,5,1,90,18.00,18
"
Providence Day",260,0,11,0,150,13.64,Irvin,20,0,1,0,10,10.00,22
"
Mira Loma A",335,3,9,0,200,16.67,Mountain View,100,0,5,2,60,12.00,19
"
William Fremd A",345,8,6,5,190,13.57,Caddo Magnet B,110,0,6,0,50,8.33,23
"
Rancho Bernardo",360,3,10,1,220,16.92,Grand Junction A,135,2,4,3,80,13.33,24
"
Paideia",285,1,11,2,170,14.17,St. Pius X,60,0,2,0,40,20.00,20
"
Hallsville",235,2,8,1,130,13.00,Lafayette Christian,20,0,1,0,10,10.00,23
"
Montgomery Blair",380,5,7,5,260,21.67,Darien B,165,1,6,4,110,15.71,20
"
Mira Loma B",420,4,10,2,270,19.29,Wissahickon,210,2,6,0,120,15.00,24
"
Orange County",255,1,11,0,130,10.83,Livingston B,55,0,3,5,50,16.67,19
"
John Adams",200,0,10,2,110,11.00,East Hamilton,5,0,1,1,0,0.00,23
"
Carlisle",265,1,9,0,160,16.00,Eastlake,70,0,4,0,30,7.50,24
