Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Marian Central Catholic",310,0,7,110,15.71,130,59.1%,Winnebago A,200,2,8,80,8.00,10
"
Adlai E. Stevenson D",230,0,10,80,8.00,50,35.7%,Keith Country Day B,135,1,5,40,6.67,30
"
Winnebago B",230,4,6,90,9.00,20,25.0%,Glenbard North C,140,0,5,70,14.00,20
"
Rockford Auburn A",440,6,4,270,27.00,40,44.4%,Barrington B,355,7,3,210,21.00,10
"
Barrington C",230,2,6,100,12.50,40,22.2%,Byron,160,0,8,60,7.50,20
"
United Township A",235,1,7,140,17.50,10,10.0%,IMSA D,185,1,6,110,15.71,0
"
Elgin Academy A",290,4,5,150,16.67,30,37.5%,Keith Country Day A,280,2,6,160,20.00,30
Winner,Score,P,TU,B,PPB,BB,BB%,Loser,Score,P,TU,B,PPB,BB
"
Barrington A",505,9,3,280,23.33,60,75.0%,Adlai E. Stevenson A,265,3,4,130,18.57,50
"
Rockford Auburn A",380,4,6,230,23.00,30,42.9%,IMSA A,360,6,3,200,22.22,40
