Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Moravian Academy B",180,2,6,0,90,11.25,Edison B,160,1,6,1,90,12.86,20
"
John P. Stevens B",270,4,4,2,180,22.50,Advanced Math & Science A,265,2,8,3,170,17.00,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hunter B",590,13,3,1,370,23.12,John P. Stevens A,135,3,1,0,80,20.00,20
"
Livingston A",515,7,8,2,340,22.67,Adirondack Central,105,2,3,1,50,10.00,20
"
Hunter A",510,9,5,3,340,24.29,Hunter C,105,0,5,1,60,12.00,20
"
Advanced Math & Science A",455,2,15,1,280,16.47,Livingston B,60,1,1,1,40,20.00,20
"
Cooperstown A",325,3,9,0,190,15.83,Hunter D,100,1,5,5,60,10.00,20
"
High Tech C",290,2,10,0,160,13.33,Bishop Ludden B,75,2,3,1,20,4.00,20
"
Belmont A",330,6,4,2,210,21.00,High Tech B,190,5,3,3,100,12.50,20
"
West Windsor-Plainsboro North B",275,3,8,2,160,14.55,Edison C,135,2,4,3,80,13.33,20
"
Belmont B",285,3,8,0,160,14.55,John P. Stevens C,160,2,4,2,100,16.67,20
"
Ridgewood B",265,0,10,1,170,17.00,Advanced Math & Science B,145,1,6,0,70,10.00,20
"
High Tech A",410,6,5,2,280,25.45,Ridgewood A,300,6,3,0,180,20.00,20
"
Bishop Ludden A",365,2,10,1,240,20.00,Marlboro,260,1,7,1,180,22.50,20
"
Phillips Exeter",365,4,7,1,240,21.82,Hempfield,265,3,6,2,170,18.89,20
"
Plymouth",185,1,7,2,110,13.75,Wallenpaupack,135,1,5,0,70,11.67,20
"
Cooperstown B",135,1,7,2,60,7.50,Moravian Academy B,90,1,4,1,40,8.00,20
"
West Windsor-Plainsboro North A",260,2,8,0,150,15.00,Moravian Academy A,220,3,6,1,120,13.33,20
"
Edison A",300,4,7,2,180,16.36,John P. Stevens B,275,6,3,1,160,17.78,20
"
Edison B",185,1,9,2,90,9.00,West Windsor-Plainsboro North C,165,1,6,0,90,12.86,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hunter A",665,13,4,0,430,25.29,High Tech B,45,2,0,1,20,10.00,20
"
High Tech A",685,12,6,1,450,25.00,Hunter C,70,0,2,2,60,30.00,20
"
Phillips Exeter",580,14,2,2,360,22.50,Adirondack Central,90,2,2,2,50,12.50,20
"
Moravian Academy A",440,2,14,2,280,17.50,Wallenpaupack,30,0,2,0,10,5.00,20
"
Hunter B",465,6,8,3,310,22.14,Hempfield,140,1,4,3,100,20.00,20
"
John P. Stevens B",385,2,12,1,240,17.14,Livingston B,115,0,6,1,60,10.00,20
"
Advanced Math & Science B",300,0,12,0,180,15.00,Bishop Ludden B,150,2,3,0,90,18.00,20
"
West Windsor-Plainsboro North B",250,2,8,2,150,15.00,Moravian Academy B,130,1,6,1,60,8.57,20
"
High Tech C",275,0,13,1,150,11.54,Hunter D,185,2,5,1,110,15.71,20
"
Belmont B",290,3,7,3,190,19.00,West Windsor-Plainsboro North A,235,0,10,1,140,14.00,20
"
Cooperstown A",210,0,7,2,150,21.43,Ridgewood B,160,2,6,0,70,8.75,20
"
Plymouth",200,3,5,1,110,13.75,John P. Stevens C,170,0,9,0,80,8.89,20
"
West Windsor-Plainsboro North C",140,0,7,0,70,10.00,Cooperstown B,110,1,4,1,60,12.00,20
"
Advanced Math & Science A",280,3,8,3,170,15.45,Bishop Ludden A,255,2,6,1,170,21.25,20
"
Ridgewood A",360,5,6,1,230,20.91,Belmont A,340,7,2,5,240,26.67,20
"
Edison A",280,2,10,2,160,13.33,Marlboro,270,2,6,0,180,22.50,20
"
Edison B",165,2,7,1,70,7.78,Edison C,155,1,6,0,80,11.43,20
"
Livingston A",315,6,4,5,210,21.00,John P. Stevens A,310,3,6,1,210,23.33,20
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Moravian Academy A",515,5,12,0,320,18.82,John P. Stevens C,85,3,0,0,40,13.33,20
"
Bishop Ludden A",455,6,10,1,270,16.88,Livingston B,65,1,2,0,30,10.00,20
"
West Windsor-Plainsboro North A",345,1,14,2,200,13.33,Wallenpaupack,5,0,1,1,0,0.00,20
"
Ridgewood B",320,6,7,2,170,13.08,Bishop Ludden B,65,0,3,1,40,13.33,20
"
Phillips Exeter",470,10,3,2,300,23.08,John P. Stevens A,220,4,3,0,130,18.57,20
"
West Windsor-Plainsboro North B",285,4,8,1,150,12.50,West Windsor-Plainsboro North C,80,1,5,1,20,3.33,20
"
Hunter A",445,11,1,4,290,24.17,Ridgewood A,275,5,3,0,170,21.25,20
"
High Tech B",380,8,4,0,220,18.33,Hunter C,220,2,6,2,140,17.50,20
"
Belmont B",300,2,9,0,180,16.36,Plymouth,150,0,6,0,90,15.00,20
"
High Tech A",415,7,4,2,280,25.45,Belmont A,280,8,1,2,160,17.78,20
"
Edison B",235,1,10,2,130,11.82,Cooperstown B,110,0,6,2,60,10.00,20
"
Hempfield",305,4,6,1,190,19.00,Adirondack Central,190,2,5,0,110,15.71,20
"
Edison C",225,2,7,1,130,14.44,Moravian Academy B,150,0,6,2,100,16.67,20
"
Hunter B",395,9,1,2,260,26.00,Livingston A,335,6,4,3,220,22.00,20
"
Cooperstown A",290,4,6,0,170,17.00,High Tech C,250,3,5,1,160,20.00,20
"
Advanced Math & Science A",320,6,4,0,190,19.00,Edison A,285,5,4,0,170,18.89,20
"
Hunter D",255,2,8,1,150,15.00,Advanced Math & Science B,230,0,9,0,140,15.56,20
"
John P. Stevens B",Forfeit, , , , , ,Marlboro,Forfeit, , , , , ,-
Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Hunter A",415,9,2,4,280,25.45,Hunter B,350,4,5,0,240,26.67,20
