Winner,Score,P,TU,I,B,PPB,Loser,Score,P,TU,I,B,PPB,TUH
"
Silver Spring Scholars A",250,5,3,3,160,20.00,Maine East,140,1,5,1,80,13.33,16
"
Paideia",305,3,8,4,200,18.18,Wayzata B,195,0,8,3,130,16.25,21
"
Henderson County (Henderson, KY)",245,2,8,3,150,15.00,Myers Park,140,3,4,3,70,10.00,20
"
LAMP",165,1,8,0,70,7.78,Berwick,65,0,4,1,30,7.50,17
"
Fletcher",200,1,7,1,120,15.00,Wayzata E,100,0,5,4,70,14.00,18
"
John Adams A",185,1,9,2,90,9.00,Coalgate,85,1,4,2,40,8.00,22
"
Cinco Ranch B",225,1,8,2,140,15.56,Emmaus,125,0,6,1,70,11.67,17
"
Cinco Ranch A",295,7,4,2,160,14.55,Centennial A,200,3,4,3,130,18.57,20
"
Northmont A",260,3,7,3,160,16.00,North Gwinnett,170,1,6,1,100,14.29,20
"
Edgewood",165,0,8,3,100,12.50,Northmont B,80,0,5,2,40,8.00,19
"
Friends Select B",155,0,8,1,80,10.00,Wando B,75,0,4,3,50,12.50,20
"
St. Joseph Central A",260,1,9,1,160,16.00,Staples,185,2,6,3,110,13.75,21
"
Centennial C",185,0,8,1,110,13.75,Mandarin,125,0,6,1,70,11.67,17
"
Wade Hampton",175,0,8,1,100,12.50,Wayzata D,115,0,6,3,70,11.67,19
"
Canyon Crest A",285,4,6,5,190,19.00,Cedar Crest,230,0,9,2,150,16.67,19
"
Jesuit",245,2,8,1,140,14.00,Chelsea,190,2,6,4,120,15.00,22
"
Vista Del Lago B",185,0,7,1,120,17.14,Loyola Academy,130,0,7,2,70,10.00,20
"
Copley",230,1,8,3,150,16.67,Catholic,180,3,6,3,90,10.00,20
"
Great Valley A",305,6,4,5,200,20.00,McLean A,260,1,9,1,160,16.00,21
"
Westminster B",215,0,9,3,140,15.56,Darien B,170,2,5,0,90,12.86,19
"
Wayzata G",105,0,5,5,80,16.00,Holton,60,0,4,2,30,7.50,20
"
Flowery Branch",150,0,6,0,90,15.00,Dutch Fork B,110,0,6,0,50,8.33,20
"
Darien A",235,5,5,4,130,13.00,Cistercian A,200,1,8,1,110,12.22,21
"
Chamblee Charter",215,1,8,2,130,14.44,Weston,180,3,4,1,100,14.29,18
"
Oswego East",105,1,5,2,50,8.33,Farmington Hills Mercy,70,1,3,1,30,7.50,18
"
Wayzata F",100,0,8,6,50,6.25,St. Joseph Central B,65,0,4,1,30,7.50,21
"
St. Vincent-St. Mary (OT)",160,2,9,4,60,7.50,Eastlake,125,0,7,3,70,10.00,25
"
Solon A",330,4,7,4,220,20.00,East Chapel Hill A,305,3,7,6,220,22.00,21
"
Harker A (OT)",250,2,9,2,140,15.56,Johns Creek B,235,1,9,4,150,16.67,22
"
Providence",235,3,8,2,120,10.91,Dunbar B,225,0,8,1,150,18.75,20
"
Southside B",150,1,7,1,70,8.75,Eden Prairie B,140,1,6,5,90,12.86,19
"
St. Louis Park",225,2,8,1,120,12.00,Centennial B,215,3,5,2,130,16.25,20
"
Carbondale",235,2,7,1,140,15.56,Lake Braddock,230,1,7,1,150,18.75,18
"
Mounds Park",130,0,7,4,80,11.43,Wayzata C,125,0,6,1,70,11.67,17
